app_name,categoryId,reviewId,sentenceId,feature,review,sentence,emotion-primary-agreement
ProBikeGarage - Bicycle mainte,HEALTH_AND_FITNESS,ac3abd55-bd96-471c-b61a-c1eabb406408,1,Logging,"Great app. Love the tracking and reminders and easy sink with Strava rides. But, I can't just log a service without it being on an interval. Adjustments or non interval (time, milage, number of rides) types of logging. Just an ""As Required"" intervals. I have seen other comments about this from 2+ years ago, but still can't do it in early 2022!!! That would make it 5 stars for sure!!!",Love the tracking and reminders and easy sink with Strava rides.,Joy
Instagram,SOCIAL,72d33762-9357-4ca2-a534-9d73e6af0cab,0,Record videos,It is good for recording videos.if this app of your time spend. Is app good for searchin contact. He discuis in friend secret. The people sporative intagram,It is good for recording videos.,Joy
Cozi Family Organizer,PRODUCTIVITY,3362cb9b-f47a-4680-9ccc-650e58d88d23,0,Family Calendar,Great app for using as a family calendar and a shared shopping list. Plus it's free! I don't really use any of the other features.,Great app for using as a family calendar and a shared shopping list.,Joy
Notepad - simple notes,PRODUCTIVITY,e2577b4f-d960-41ce-bd2a-30c9832cd510,1,Text formatting,"I have used this app for several years and appreciate how easy it is to use. It is a very handy tool for making notes in simple text format. You can use the tool for storing links that you've copied from the Internet. When you click on the text of the link that you have copied to Notepad, it will launch your Internet browser opened right at the place and page address stored in the link. Notes are stored by title making it easy for you to find any particular note that you are looking for.",It is a very handy tool for making notes in simple text format.,Joy
Microsoft Translator,PRODUCTIVITY,98fd717b-bbf5-4a18-87df-e8623259a0e6,0,Translator,"It is so helpful , awesome 😎 translator .","It is so helpful , awesome 😎 translator .",Joy
Loop Habit Tracker,PRODUCTIVITY,c35c6f9f-d9b9-4497-a990-28bd36b8012e,1,Monetization,Wonderful app! Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.,Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.,Joy
Tasks: to do list & tasks,PRODUCTIVITY,9dc0b90e-faf4-43f7-b000-b5052c07ab2a,0,List management,Excellent task and list management tool,Excellent task and list management tool,Joy
Todoist: to-do list & planner,PRODUCTIVITY,ee4accee-e253-4949-b4bf-44f90dc06583,0,To do lists,The best thing about this app is that it lets plan your your to do list not only for present but also for future. And the way it show the weekly calendar in its upcoming is just amazing. And it also sort the task according to priority and time assigned.,The best thing about this app is that it lets plan your your to do list not only for present but also for future.,Joy
Stuff - To Do List Widget,PRODUCTIVITY,29ca42e8-f03c-4f62-84ec-3762a90f941b,1,Lightweight,"This widget is perfect for someone like me that needs a to-do list directly on her homepage without needing to open an app. It's very intuitive, and lightweight which makes it a must have for list lovers.","It's very intuitive, and lightweight which makes it a must have for list lovers.",Joy
Easy Notes - Notebook Note pad,PRODUCTIVITY,2fd08983-7957-48b8-9bba-3e2f519e1c32,1,Share notes,Love the colors and writing options . Also great that u can share notes as photos as well,Also great that u can share notes as photos as well,Joy
"Notepad Pro - Notes, Todo List",PRODUCTIVITY,ee8ae115-f9a0-49d1-aef0-c7a720cf7c7c,0,Team work,Very good team work. Plz add text font colors and hightlight options.,Very good team work.,Joy
True Phone Dialer & Contacts,COMMUNICATION,1583cdb0-28c6-4568-8063-df4d06180fa1,0,Customizable,Good ... Customizable... Light ... Love it.,Good ... Customizable... Light ...,Joy
BlackNote Notepad Notes,PRODUCTIVITY,aa34201d-9c28-44d9-91bd-02c56306c6c3,0,Notebook,It works like a notebook can't complain,It works like a notebook can't complain,Joy
Habit Tracker,PRODUCTIVITY,2933d118-d538-4fad-856e-4a4ce424d4bd,0,Habit Tracker,"Habit Tracker, is elaborately engineered with unique design enhancements, robust user friendly responses and a crash-proof character. It comes without question that it is intelligently written to exceed every whim of the most demanding user. A class act ! KUDOS to the developers !!","Habit Tracker, is elaborately engineered with unique design enhancements, robust user friendly responses and a crash-proof character.",Joy
Repeat Habit - Habit tracker f,PRODUCTIVITY,9161b496-9d74-45ec-836b-ba13cf00feea,1,Clean design,Really great app. Clean design. Keeps me on track of things I need to do daily and helps me do them. Nicely customizable too.,Clean design.,Joy
